,,Equity,,,,,,,,,,,,,,,,,,,,,,,,fixed income,,,,,,,,,,,,,,,,,,,,Commodities,,,,,,,,,,,,,,,Outside US Equit ETF,,,,,,,,,,,,,,,,,,,,,,,
,,SPY,IVV,VTI,VOO,QQQ,VEA,EFA,IEFA,VWO,IJH,IWB,IWM,IEMG,VTV,IJR,IWF,IWD,VUG,VIG,XLF,EEM,VB,DIA,VEU,AGG,TLT,BND,LQD,BSV,TIP,VCSH,VCIT,PFF,SHV,EMB,HYG,SHY,BIV,BNDX,MBB,FLOT,IGSB,MUB,IEF,DBC,GLD,OILU,PDBC,GSG,DJP,COMT,USCI,RJI,FTGC,GCC,BCI,BCM,DJCI,COMB,EWW,EWC,EWQ,EWU,EWG,EWI,MCHI,FXI,CNYA,ERUS,EWY,EWJ,ICOL,EWZ,EWP,KSA,EZA,QAT,UAE,INDA,INDY,EWS,EWA,EPHE
Mo,10/29/2018,263.86,265.61,135.02,242.5,163.23,38.75,61.26,57.56,36.68,178.27,146.27,146.67,45.85,102.95,76.35,137.48,117.54,141.77,101.16,25.48,38,142.45,244.47,46.65,104.79,114.73,78.11,112.8,78.01,109.38,77.96,82.78,36.13,110.43,104.99,84.15,83.16,80.14,54.69,102.72,50.96,51.7,107.4,101.13,17.28,116.31,48.86,18.07,17.28,23.44,37.12,41.48,5.47,19.61,18.38,23.62,,15.5546,25.27,42.6,25.95,27.96,31.22,26.89,25.04,51.05,38.26,23.35,32.8,56.85,53.47,12.2761,38.63,27.51,29.23,47.44,18.37,14.73,29.59,31.42,21.75,19.91,29.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,10/26/2018,265.33,267.1,135.77,243.76,166.66,38.91,61.43,57.7,37.41,178.99,147.18,147.48,46.69,102.81,76.57,139.45,117.27,143.89,101.28,25.26,38.67,143.1,246.53,47,104.9,114.99,78.18,112.93,78.06,109.49,77.99,82.85,36.1,110.43,105.44,84.23,83.13,80.2,54.69,102.72,50.94,51.72,107.33,101.14,17.46,116.77,51.3,18.27,17.5,23.76,37.42,41.88,5.54,19.8103,18.61,23.89,29.3,15.67,25.51,45.88,26.26,28.05,31.2,26.78,24.93,52.51,38.98,24.29,32.79,57.69,53.97,12.3013,40.04,27.4,29.16,48.29,18.18,14.83,29.36,31.39,21.97,19.96,29.58
Th,10/25/2018,270.08,272.02,138.16,248.15,171.06,39.24,61.85,58.13,37.7,180.96,149.75,149.11,47.17,104.21,77.3,142.47,118.9,147.12,102.44,25.63,39.12,145.09,249.77,47.39,104.66,114.3,78.04,112.74,77.92,108.94,77.98,82.65,36.22,110.42,105.3,84.61,83.08,79.92,54.58,102.58,50.94,51.68,107.28,100.69,17.33,116.4,49.92,18.11,17.33,23.56,37.23,41.52,5.5,19.66,18.46,23.73,29.0966,15.6014,25.3829,46.04,26.36,28.21,31.4,26.95,24.92,53.43,39.62,24.6975,33.51,59.34,54.67,12.32,39,27.34,29.21,48.64,18.56,14.98,29.53,31.57,22.27,20.09,29.22
We,10/24/2018,265.32,267.14,135.61,243.78,165.34,38.81,61.08,57.46,37,178.31,147.07,145.95,46.39,102.87,75.65,138.98,117.45,143.74,101.55,25.24,38.38,142.38,245.64,46.78,104.75,114.78,78.13,112.88,77.98,109.4,77.93,82.74,36,110.4,104.97,84.44,83.11,80.09,54.52,102.57,50.92,51.71,107.32,100.93,17.26,116.66,48.16,18.06,17.24,23.61,37.2,41.46,5.49,19.68,18.48,23.78,29.0811,15.6417,25.43,45.26,26.35,27.7,31.14,26.4,24.41,52.22,38.73,24.21,33.22,58.41,53.87,12.49,37.94,26.99,27.7,47.13,18.01,14.74,29.3,31.38,22.06,20.01,29.29
Tu,10/23/2018,273.61,275.57,139.96,251.28,173.27,39.91,62.86,59.12,38.11,183.93,151.75,151.66,47.88,105.57,78.41,144.45,120.35,149.05,104.09,25.89,39.66,147.36,251.67,48.16,104.48,113.92,77.92,112.72,77.84,109.04,77.81,82.59,36.13,110.39,105.38,84.86,82.98,79.77,54.44,102.34,50.95,51.62,108.15,100.39,17.38,116.39,48.41,18.17,17.31,23.77,37.54,41.63,5.53,19.77,18.56,23.9056,,15.7182,25.59,46.53,26.92,28.53,31.89,27.36,25.34,54.24,39.89,24.55,33.37,60.43,55.65,12.83,39.56,27.77,28.07,49.87,18.14,14.9961,29.61,31.77,22.49,20.49,29.99
Mo,10/22/2018,275.01,277.22,140.79,252.8,173.91,40.32,63.46,59.69,38.49,185.75,152.61,153.03,48.38,106.2,79.03,145.3,121.07,149.81,104.78,26.1,40.1,148.67,253.04,48.62,104.35,113.56,77.81,112.56,77.78,109.01,77.79,82.45,36.24,110.38,105.35,84.94,82.93,79.65,54.41,102.22,50.97,51.59,106.99,100.13,17.77,115.71,56.01,18.58,17.78,23.97,38.21,42.15,5.6,19.91,18.5711,24.07,29.5771,15.8045,25.7099,46.83,27.14,28.72,32.03,27.7,25.31,55.26,40.54,25.0683,33.36,61.54,56.3,13.03,39.78,27.76,27.91,50.03,18.38,14.98,29.49,31.53,22.62,20.71,30.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,10/19/2018,276.25,278.27,141.35,253.85,173.02,40.51,63.74,60.06,38.09,186.72,153.23,153.36,47.97,106.98,79.1,145.16,122.17,149.83,104.95,26.67,39.67,149.26,254.32,48.7,104.37,113.71,77.84,112.7,77.8,109.07,77.78,82.44,36.21,110.38,105.46,84.9,82.95,79.65,54.4,102.18,50.96,51.58,106.98,100.11,17.75,116.01,55.7,18.56,17.75,24.04,38.24,41.87,5.6,19.89,18.55,24.16,29.532,15.8406,25.7901,47.63,27.19,28.97,32.22,27.84,25.51,53.55,39.48,23.9916,33.7,61.46,56.65,13.06,38.95,28.24,28.28,49.46,18.12,14.93,29.87,31.84,22.54,20.91,29.82
